Model,Metric,N,Mean,Std,Median,Min,Max,IQR
Gemma RAW,Cosine Similarity,10000,0.9917187079071998,0.0008383557195205583,0.9917531609535216,0.984778642654419,0.9947025775909424,0.0009989142417906605
Gemma RAW,Jaccard Similarity,10000,0.021128905319409554,0.013390373108475536,0.0212765957446808,0.0,0.09375,0.0201388888888889
Gemma RAW,Dice Similarity,10000,0.041050337965001925,0.02540790112860389,0.0416666666666666,0.0,0.1714285714285714,0.0386280386280387
Gemma RAW,BERTScore F1,10000,0.9709162628531456,0.0019480259554466443,0.9710071086883544,0.961934208869934,0.9759819507598876,0.002572089433670044
Gemma CoT,Cosine Similarity,10000,0.9822846837997437,0.02521659868684024,0.984232783317566,0.0,0.9959872961044312,0.007503539323806652
Gemma CoT,Jaccard Similarity,10000,0.04358905373868727,0.05435723789845897,0.0344827586206896,0.0,1.0,0.055921052631578996
Gemma CoT,Dice Similarity,10000,0.07924029432170185,0.08441376700114647,0.0666666666666666,0.0,1.0,0.1045751633986928
Gemma CoT,BERTScore F1,10000,0.9637140428900719,0.02398144152454066,0.9640200734138489,0.0,0.9837712049484252,0.005807757377624623
Sarvam RAW,Cosine Similarity,10000,0.9881294159352779,0.0010449025353737975,0.9881713092327118,0.9801073670387268,0.9915659427642822,0.0013071596622468151
Sarvam RAW,Jaccard Similarity,10000,0.005158012751580569,0.0035879883235409786,0.005524861878453,0.0,0.0224719101123595,0.0005059523809524003
Sarvam RAW,Dice Similarity,10000,0.010237751765498074,0.0070987168174835745,0.0109890109890109,0.0,0.0439560439560439,0.0010009420631181994
Sarvam RAW,BERTScore F1,10000,0.9679956834256649,0.0022558780351794993,0.9679447114467621,0.9599891901016236,0.9749770760536194,0.002993836998939514
