Metric,Model A,Model B,Cohen's d,Magnitude
Cosine Similarity,Gemma RAW,Gemma CoT,0.5288,medium
Cosine Similarity,Gemma RAW,Sarvam RAW,3.7891,large
Cosine Similarity,Gemma CoT,Sarvam RAW,-0.3275,small
Jaccard Similarity,Gemma RAW,Gemma CoT,-0.5674,medium
Jaccard Similarity,Gemma RAW,Sarvam RAW,1.6293,large
Jaccard Similarity,Gemma CoT,Sarvam RAW,0.9977,large
Dice Similarity,Gemma RAW,Gemma CoT,-0.6127,medium
Dice Similarity,Gemma RAW,Sarvam RAW,1.6518,large
Dice Similarity,Gemma CoT,Sarvam RAW,1.152,large
BERTScore F1,Gemma RAW,Gemma CoT,0.4233,small
BERTScore F1,Gemma RAW,Sarvam RAW,1.3857,large
BERTScore F1,Gemma CoT,Sarvam RAW,-0.2514,small
