Metric,Model A,Model B,W-stat,p-value,Sig (p<0.05)
Cosine Similarity,Gemma RAW,Gemma CoT,114740.5,0.0,✓
Cosine Similarity,Gemma RAW,Sarvam RAW,397.0,0.0,✓
Cosine Similarity,Gemma CoT,Sarvam RAW,5968383.5,0.0,✓
Jaccard Similarity,Gemma RAW,Gemma CoT,11083118.5,0.0,✓
Jaccard Similarity,Gemma RAW,Sarvam RAW,7962.0,0.0,✓
Jaccard Similarity,Gemma CoT,Sarvam RAW,1256213.5,0.0,✓
Dice Similarity,Gemma RAW,Gemma CoT,11217283.0,0.0,✓
Dice Similarity,Gemma RAW,Sarvam RAW,7512.0,0.0,✓
Dice Similarity,Gemma CoT,Sarvam RAW,1259059.0,0.0,✓
BERTScore F1,Gemma RAW,Gemma CoT,441452.5,0.0,✓
BERTScore F1,Gemma RAW,Sarvam RAW,200.0,0.0,✓
BERTScore F1,Gemma CoT,Sarvam RAW,4235929.5,0.0,✓
